Spp_jetz;animal;Imports
Bubo_bubo;Bubo_bubo;1833
Bubo_capensis;Bubo_capensis;61
Bubo_cinerascens;Bubo_cinerascens;12
Bubo_coromandus;Bubo_coromandus;1
Bubo_lacteus;Bubo_lacteus;249
Bubo_nipalensis;Bubo_nipalensis;9
Bubo_poensis;Bubo_poensis;85
Bubo_scandiaca;Bubo_scandiaca;1580
Bubo_sumatranus;Bubo_sumatranus;4
Bubo_virginianus;Bubo_virginianus;606
Bubulcus_ibis;Bubulcus_ibis;553
Buceros_bicornis;Buceros_bicornis;227
Buceros_hydrocorax;Buceros_hydrocorax;152
Buceros_rhinoceros;Buceros_rhinoceros;230
Burhinus_bistriatus;Burhinus_bistriatus;3
Butastur_rufipennis;Butastur_rufipennis;38
Butastur_teesa;Butastur_teesa;4
Buteo_albicaudatus;Buteo_albicaudatus;3
Buteo_albonotatus;Buteo_albonotatus;115
Buteo_augur;Buteo_augur;8
Buteo_auguralis;Buteo_auguralis;58
Buteo_brachypterus;Buteo_brachypterus;1
Buteo_buteo;Buteo_buteo;372
Buteo_hemilasius;Buteo_hemilasius;4
Buteo_jamaicensis;Buteo_jamaicensis;501
Buteo_lagopus;Buteo_lagopus;34
Buteo_lineatus;Buteo_lineatus;1
Buteo_magnirostris;Buteo_magnirostris;39
Buteo_nitidus;Buteo_nitidus;8
Buteo_oreophilus;Buteo_oreophilus;5
Buteo_platypterus;Buteo_platypterus;73
Buteo_polyosoma;Buteo_polyosoma;364
Buteo_regalis;Buteo_regalis;180
Buteo_rufinus;Buteo_rufinus;103
Buteo_rufofuscus;Buteo_rufofuscus;118
Buteo_swainsoni;Buteo_swainsoni;36
Buteogallus_aequinoctialis;Buteogallus_aequinoctialis;1
Buteogallus_meridionalis;Buteogallus_meridionalis;1
Buteogallus_urubitinga;Buteogallus_urubitinga;6
Cacatua_alba;Cacatua_alba;183600
Cacatua_ducorpsii;Cacatua_ducorpsii;26974
Cacatua_galerita;Cacatua_galerita;42281
Cacatua_goffiniana;Cacatua_goffiniana;155583
Cacatua_haematuropygia;Cacatua_haematuropygia;2151
Cacatua_leadbeateri;Cacatua_leadbeateri;3520
Cacatua_moluccensis;Cacatua_moluccensis;125583
Cacatua_ophthalmica;Cacatua_ophthalmica;1429
Cacatua_pastinator;Cacatua_pastinator;212
Cacatua_roseicapilla;Cacatua_roseicapilla;30453
Cacatua_sanguinea;Cacatua_sanguinea;6671
Cacatua_sulphurea;Cacatua_sulphurea;131944
Cacatua_tenuirostris;Cacatua_tenuirostris;666
Cairina_moschata;Cairina_moschata;624
Cairina_scutulata;Cairina_scutulata;207
Callocephalon_fimbriatum;Callocephalon_fimbriatum;277
Caloenas_nicobarica;Caloenas_nicobarica;1545
Calypte_anna;Calypte_anna;36
Calyptorhynchus_banksii;Calyptorhynchus_banksii;482
Calyptorhynchus_baudinii;Calyptorhynchus_baudinii;122
Calyptorhynchus_funereus;Calyptorhynchus_funereus;203
Calyptorhynchus_latirostris;Calyptorhynchus_latirostris;47
Campylopterus_curvipennis;Campylopterus_curvipennis;10
Campylopterus_hemileucurus;Campylopterus_hemileucurus;16
Campylopterus_rufus;Campylopterus_rufus;8
Caracara_cheriway;Caracara_cheriway;1
Caracara_plancus;Caracara_plancus;443
Carduelis_ambigua;Carduelis_ambigua;60
