"","tip","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id"
"71","Acrocephalus scirpaceus","Acrocephalus scirpaceus","GRW11","","Plasmodium","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","GRW11 Acrocephalus scirpaceus"
"72","Acrocephalus scirpaceus","Acrocephalus scirpaceus","ARW1","","Haemoproteus","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","ARW1 Acrocephalus scirpaceus"
"73","Acrocephalus scirpaceus","Acrocephalus scirpaceus","RW1","","Haemoproteus","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","RW1 Acrocephalus scirpaceus"
"74","Acrocephalus sechellensis","Acrocephalus sechellensis","GRW01","","Haemoproteus","Acrocephalus sechellensis","Acrocephalus_sechellensis","yes","Acrocephalus sechellensis","GRW01 Acrocephalus sechellensis"
"75","Acrocephalus stentoreus","Acrocephalus stentoreus","GRW03","","Haemoproteus","Acrocephalus stentoreus","Acrocephalus_stentoreus","yes","Acrocephalus stentoreus","GRW03 Acrocephalus stentoreus"
"76","Acrocephalus stentoreus","Acrocephalus stentoreus","ACSTE1","","Haemoproteus","Acrocephalus stentoreus","Acrocephalus_stentoreus","yes","Acrocephalus stentoreus","ACSTE1 Acrocephalus stentoreus"
"77","Adelomyia melanogenys","Adelomyia melanogenys","TROAED15","SA15,SA16","Haemoproteus","Adelomyia melanogenys","Adelomyia_melanogenys","yes","Adelomyia melanogenys","TROAED15 Adelomyia melanogenys"
"78","Adelomyia melanogenys","Adelomyia melanogenys","TROAED20","","Haemoproteus","Adelomyia melanogenys","Adelomyia_melanogenys","yes","Adelomyia melanogenys","TROAED20 Adelomyia melanogenys"
"79","Adelomyia melanogenys","Adelomyia melanogenys","TROAED18","SA10","Haemoproteus","Adelomyia melanogenys","Adelomyia_melanogenys","yes","Adelomyia melanogenys","TROAED18 Adelomyia melanogenys"
"80","Aegithalos caudatus","Aegithalos caudatus","ROFI1","","Haemoproteus","Aegithalos caudatus",NA,NA,"Aegithalos caudatus","ROFI1 Aegithalos caudatus"
"81","Aegithalos caudatus","Aegithalos caudatus","PHSIB1","","Haemoproteus","Aegithalos caudatus",NA,NA,"Aegithalos caudatus","PHSIB1 Aegithalos caudatus"
"82","Aegolius funereus","Aegolius funereus","STOCC06","","Leucocytozoon","Aegolius funereus","Aegolius_funereus","yes","Aegolius funereus","STOCC06 Aegolius funereus"
"83","Aegolius funereus","Aegolius funereus","AEFUN02","","Leucocytozoon","Aegolius funereus","Aegolius_funereus","yes","Aegolius funereus","AEFUN02 Aegolius funereus"
"84","Aegolius funereus","Aegolius funereus","BT2","","Leucocytozoon","Aegolius funereus","Aegolius_funereus","yes","Aegolius funereus","BT2 Aegolius funereus"
"85","Aegypius monachus","Aegypius monachus","CIAE02","","Leucocytozoon","Aegypius monachus","Aegypius_monachus","yes","Aegypius monachus","CIAE02 Aegypius monachus"
"86","Aegypius monachus","Aegypius monachus","AEMO02","","Leucocytozoon","Aegypius monachus","Aegypius_monachus","yes","Aegypius monachus","AEMO02 Aegypius monachus"
"87","Agelaioides badius","Molothrus badius","MOLBAD01","37","Haemoproteus","Molothrus badius","Agelaioides_badius","no","Agelaioides badius","MOLBAD01 Agelaioides badius"
"88","Agelaius phoeniceus","Agelaius phoeniceus","SEIAUR01","SPTO_CA_ELW_6P","Plasmodium","Agelaius phoeniceus","Agelaius_phoeniceus","yes","Agelaius phoeniceus","SEIAUR01 Agelaius phoeniceus"
"89","Agelaius phoeniceus","Agelaius phoeniceus","RWB01","","Plasmodium","Agelaius phoeniceus","Agelaius_phoeniceus","yes","Agelaius phoeniceus","RWB01 Agelaius phoeniceus"
"90","Aglaeactis castelnaudii","Aglaeactis castelnaudii","OCHRUF02","","Leucocytozoon","Aglaeactis castelnaudii",NA,NA,"Aglaeactis castelnaudii","OCHRUF02 Aglaeactis castelnaudii"
"91","Aglaeactis castelnaudii","Aglaeactis castelnaudii","TROAED20","","Haemoproteus","Aglaeactis castelnaudii",NA,NA,"Aglaeactis castelnaudii","TROAED20 Aglaeactis castelnaudii"
"92","Aglaiocercus kingi","Aglaiocercus kingi","TROAED20","","Haemoproteus","Aglaiocercus kingi",NA,NA,"Aglaiocercus kingi","TROAED20 Aglaiocercus kingi"
"93","Alauda arvensis","Alauda arvensis","SGS1","","Plasmodium","Alauda arvensis","Alauda_arvensis","yes","Alauda arvensis","SGS1 Alauda arvensis"
"94","Alauda arvensis","Alauda arvensis","SYAT05","","Plasmodium","Alauda arvensis","Alauda_arvensis","yes","Alauda arvensis","SYAT05 Alauda arvensis"
"95","Alcedo leucogaster","Alcedo leucogaster","ALCLEU01","H59","Haemoproteus","Alcedo leucogaster","Alcedo_leucogaster","yes","Alcedo leucogaster","ALCLEU01 Alcedo leucogaster"
"96","Alcippe morrisonia","Alcippe morrisonia","POMFER01","P47","Plasmodium","Alcippe morrisonia","Alcippe_morrisonia","yes","Alcippe morrisonia","POMFER01 Alcippe morrisonia"
"97","Alcippe morrisonia","Alcippe morrisonia","ALMOR06","","Haemoproteus","Alcippe morrisonia","Alcippe_morrisonia","yes","Alcippe morrisonia","ALMOR06 Alcippe morrisonia"
