"","tip","X","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id","Species3","Order3"
"36","Acrocephalus palustris",45,"Acrocephalus palustris","WW2","","Haemoproteus","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","WW2 Acrocephalus palustris","Acrocephalus palustris","Passeriformes"
"37","Acrocephalus palustris",46,"Acrocephalus palustris","RW3","","Haemoproteus","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","RW3 Acrocephalus palustris","Acrocephalus palustris","Passeriformes"
"38","Acrocephalus palustris",47,"Acrocephalus palustris","SGS1","","Plasmodium","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","SGS1 Acrocephalus palustris","Acrocephalus palustris","Passeriformes"
"39","Acrocephalus palustris",48,"Acrocephalus palustris","ARW1","","Haemoproteus","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","ARW1 Acrocephalus palustris","Acrocephalus palustris","Passeriformes"
"40","Acrocephalus palustris",49,"Acrocephalus palustris","SW1","","Haemoproteus","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","SW1 Acrocephalus palustris","Acrocephalus palustris","Passeriformes"
"41","Acrocephalus palustris",50,"Acrocephalus palustris","MW1","","Haemoproteus","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","MW1 Acrocephalus palustris","Acrocephalus palustris","Passeriformes"
"42","Acrocephalus schoenobaenus",51,"Acrocephalus schoenobaenus","RW1","MAPH2","Haemoproteus","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","RW1 Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Passeriformes"
"43","Acrocephalus schoenobaenus",52,"Acrocephalus schoenobaenus","GRW02","","Plasmodium","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","GRW02 Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Passeriformes"
"44","Acrocephalus schoenobaenus",53,"Acrocephalus schoenobaenus","SW1","","Haemoproteus","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","SW1 Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Passeriformes"
"45","Acrocephalus schoenobaenus",54,"Acrocephalus schoenobaenus","GRW04","","Plasmodium","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","GRW04 Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Passeriformes"
