"","tip","lineages","alt_lineages","Species3","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status","WJSpecID","Scientific","TipLabel","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","X2010.IUCN.Red.List.category","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc","urban","humanDisturbed"
"1725","Rynchops niger","PHPAT01, DENAUT01, DENPET03","RYNI_RDSM1, RYNI_RDSM3, RYNI_RDSM2","Rynchops niger","Laridae","Charadriiformes",6,3,3,0,4,83.7,69.4,7.4,25.1,32.3,365.7,246.5,119.2,67.4,130.5,297.73,"Dunning","NA","NO","NA","NA","Riverine","3","2","Carnivore","Aquatic predator","Aerial","-39.39","42.32","-10.31","-57.948163299999997","13769340.5","Extant",4360,"Rynchops niger","Rynchops_niger","Lari","Gulls, Terns, Auks, Crab Plover","Gulls, Terns, Auks, Crab Plover","Black Skimmer","bow04360","LC","BL3","Laridae","Gulls and terns",61,"CHARADRIIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","0","0"
"1726","Sakesphorus bernardi","OCHLEU01, COEFLA01, THABER01","OCHLEU03","Sakesphorus bernardi","Thamnophilidae","Passeriformes",13,6,7,0,5,23.2,13.6,5.2,7.5,28.7,79,7.1,71.8,9,64.2,34.4,"Dunning","NA","NO","NA","NA","Woodland","2","1","Carnivore","Invertivore","Generalist","-9.7100000000000009","-0.16","-4.67","-80.021955360000007","105409.97","Extant",6406,"Sakesphorus bernardi","Sakesphorus_bernardi","Thamnophilidae","Antbirds","Antbirds","Collared Antshrike","bow06406","LC","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","0","0"
"1727","Sakesphorus cristatus","VOLJAC02, THCAE01","BAFLA03, THCAE01","Sakesphorus cristatus","Thamnophilidae","Passeriformes",16,11,5,0,4,17.4,11.1,5.7,5.6,23.4,66.9,6.2,60.4,9.7,58.3,17.7,"Dunning","NA","NO","NA","NA","Woodland","2","1","Carnivore","Invertivore","Insessorial","-19.29","-2.84","-10.41","-40.642513379999997","1141026.6499999999","Extant",6405,"Sakesphorus cristatus","Sakesphorus_cristatus","Thamnophilidae","Antbirds","Antbirds","Silvery-cheeked Antshrike","bow06405","LC","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","0","0"
"1728","Salpinctes obsoletus","SEIAUR01","","Salpinctes obsoletus","Troglodytidae","Passeriformes",5,2,3,0,4,19.9,12.6,2.9,3.4,20.1,69,11.8,56.6,17.3,55.6,16.37,"Dunning","NA","NO","NA","NA","Rock","3","1","Carnivore","Invertivore","Terrestrial","10.66","54.32","37.18","-108.9711731","5424173.4000000004","Extant",9687,"Salpinctes obsoletus","Salpinctes_obsoletus","M1","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Rock Wren","bow09687","LC","BL3","Troglodytidae","Wrens",162,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"1729","Saltator atricollis","SALAT01, SALATR01","","Saltator atricollis","Cardinalidae","Passeriformes",6,2,4,0,4,21.6,13.3,7.2,11.1,26.6,91.9,12.2,79.7,13.4,88.4,53.8,"Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Granivore","Insessorial","-25.56","-2.25","-14.44","-47.960311419999996","3347116.2","Extant",13300,"Saltator atricollis","Saltator_atricollis","P19","Grosbeaks, Saltators, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Black-throated Saltator","bow13300","LC","BL3","Cardinalidae","Grosbeaks, saltators and allies",194,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"1730","Saltator aurantiirostris","TROAED02, SALAUR01, ZOCAP08","ZONCAP015, 48","Saltator aurantiirostris","Cardinalidae","Passeriformes",9,4,5,0,4,21.9,13.9,8.8,12.7,27,100.7,16.4,85.7,16,96.4,41.89,"Dunning","NA","NO","NA","NA","Woodland","2","1","Omnivore","Granivore","Insessorial","-41.17","-7.44","-27.35","-63.268972789999999","2474154.66","Extant",13296,"Saltator aurantiirostris","Saltator_aurantiirostris","P19","Grosbeaks, Saltators, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Golden-billed Saltator","bow13296","LC","BL3","Cardinalidae","Grosbeaks, saltators and allies",194,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"1731","Saltator coerulescens","DENCER02, SALCOE01, DENPET03, PADOM09, PACPEC02","25, 41","Saltator coerulescens","Cardinalidae","Passeriformes",33,16,16,1,4,22.3,14.2,9.1,11.1,26.5,99.8,14.6,86.2,14.5,96.8,54.9,"Dunning","NA","NO","NA","NA","Human Modified","2","1","Herbivore","Omnivore","Insessorial","-35.64","23.78","-6.75","-63.105842459999998","10535062.52","Extant",13292,"Saltator coerulescens","Saltator_coerulescens","P19","Grosbeaks, Saltators, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Greyish Saltator","bow13292","LC","BL3","Cardinalidae","Grosbeaks, saltators and allies",194,"PASSERIFORMES","PASSERIFORMES","Passeri","1","1"
"1732","Saltator grossus","PADOM11","31","Saltator grossus","Cardinalidae","Passeriformes",13,7,6,0,4,21.4,14.1,10.3,13.7,23.7,96.1,17.9,78.6,18.6,87.4,44.2,"Dunning","NA","NO","NA","NA","Forest","1","1","Omnivore","Omnivore","Insessorial","-17.420000000000002","15.88","-2.61","-63.858816969999999","6243128.1299999999","Extant",13287,"Saltator grossus","Saltator_grossus","P19","Grosbeaks, Saltators, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Slate-coloured Grosbeak","bow13287","LC","BL3","Cardinalidae","Grosbeaks, saltators and allies",194,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"1733","Saltator maxillosus","GEOTRI09","","Saltator maxillosus","Cardinalidae","Passeriformes",4,1,0,3,4,20.8,12.6,8.9,13.4,22.3,98,13.4,84.6,13.7,106,50.8,"Dunning","NA","NO","NA","NA","Forest","2","1","Herbivore","Herbivore terrestrial","Insessorial","-30.03","-19.59","-26.11","-50.807817229999998","436886.3","Extant",13297,"Saltator maxillosus","Saltator_maxillosus","P19","Grosbeaks, Saltators, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Thick-billed Saltator","bow13297","LC","BL3","Cardinalidae","Grosbeaks, saltators and allies",194,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"1734","Saltator maximus","SALMAX03, PADOM11, PACPEC02, TROAED18, SALMAX01, ANASTR02, SALMAX02","31","Saltator maximus","Cardinalidae","Passeriformes",51,12,18,21,4,20.7,14.7,8.9,10.4,25.3,96.1,16.1,79.2,16.9,88.9,47.62,"Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Frugivore","Insessorial","-23.1","19.850000000000001","-3.81","-62.1529928","9544602.6600000001","Extant",13290,"Saltator maximus","Saltator_maximus","P19","Grosbeaks, Saltators, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Buff-throated Saltator","bow13290","LC","BL3","Cardinalidae","Grosbeaks, saltators and allies",194,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
