"","tip","cites"
"367","Ochthoeca leucophrys",0
"368","Ochthoeca rufipectoralis",0
"369","Ocreatus underwoodii",0
"370","Oriolus oriolus",2
"371","Pachyramphus albogriseus",0
"372","Pachyramphus polychopterus",1
"373","Panurus biarmicus",0
"374","Paramythia montium",1
"375","Paroaria capitata",0
"376","Parus ater",14
"377","Parus atricapillus",20
"378","Parus caeruleus",108
"379","Parus carolinensis",1
"380","Parus cristatus",2
"381","Parus gambeli",1
"382","Parus hudsonicus",0
"383","Parus major",497
"384","Parus palustris",17
"385","Parus teneriffae",2
"386","Passer diffusus",1
"387","Passer domesticus",746
"388","Passer griseus",0
"389","Passer hispaniolensis",13
"390","Passer melanurus",2
"391","Passer moabiticus",1
"392","Passer montanus",51
"393","Passerella iliaca",8
"394","Passerina cyanea",18
"395","Patagioenas fasciata",8
"396","Patagioenas plumbea",1
"397","Patagona gigas",3
"398","Pavo cristatus",36
"399","Peneothello cyanus",0
"400","Perisoreus canadensis",10
"401","Petroica macrocephala",1
"402","Phaeomyias murina",0
"403","Phaethornis guy",3
"404","Phaethornis malaris",0
"405","Phaethornis striigularis",0
"406","Phaethornis syrmatophorus",0
"407","Phaethornis yaruqui",0
"408","Phalacrocorax brasilianus",21
"409","Phedina borbonica",0
"410","Pheucticus chrysogaster",0
"411","Pheucticus ludovicianus",5
"412","Pheucticus melanocephalus",3
"413","Philepitta castanea",3
"414","Philesturnus carunculatus",7
"415","Philomachus pugnax",16
"416","Phlegopsis nigromaculata",0
"417","Phoenicurus moussieri",0
"418","Phoenicurus ochruros",12
"419","Phoenicurus phoenicurus",19
"420","Phrygilus atriceps",0
"421","Phrygilus gayi",0
"422","Phrygilus patagonicus",0
"423","Phyllastrephus icterinus",0
"424","Phylloscopus canariensis",4
"425","Phylloscopus collybita",9
"426","Phylloscopus humei",0
"427","Phylloscopus inornatus",0
"428","Phylloscopus sibilatrix",21
"429","Phylloscopus trochiloides",9
"430","Phylloscopus trochilus",51
"431","Phytotoma rutila",1
"432","Piaya cayana",2
"433","Pica pica",30
"434","Pipile jacutinga",1
"435","Pipilo maculatus",5
"436","Pipra fasciicauda",0
"437","Pipra pipra",2
"438","Pipra rubrocapilla",0
"439","Pipreola riefferii",0
"440","Piranga flava",0
"441","Piranga ludoviciana",0
"442","Piranga olivacea",2
"443","Piranga rubra",3
"444","Pitangus sulphuratus",9
"445","Pithys albifrons",0
"446","Pitohui dichrous",2
"447","Platycercus elegans",15
"448","Platyrinchus mystaceus",1
"449","Ploceus cucullatus",7
"450","Ploceus grandis",0
"451","Ploceus melanocephalus",1
"452","Ploceus nelicourvi",0
"453","Ploceus nigerrimus",0
"454","Ploceus nigricollis",0
"455","Ploceus ocularis",0
"456","Ploceus princeps",0
"457","Ploceus velatus",1
"458","Polytelis swainsonii",0
"459","Pomatorhinus ferruginosus",0
"460","Pomatorhinus horsfieldii",0
"461","Poospiza hispaniolensis",0
"462","Poospiza lateralis",0
"463","Premnornis guttuligera",0
"464","Promerops cafer",4
"465","Prosthemadera novaeseelandiae",4
"466","Prunella modularis",0
"467","Psarocolius angustifrons",0
"468","Psarocolius decumanus",1
"469","Pseudobias wardi",0
"470","Pseudocolaptes boissonneautii",0
"471","Pseudoleistes guirahuro",0
"472","Pseudoscops clamator",1
"473","Psophia leucoptera",1
"474","Ptiloprora perstriata",0
"475","Pycnonotus barbatus",5
"476","Pycnonotus cafer",6
"477","Pyrenestes ostrinus",2
"478","Pyriglena leuconota",1
"479","Pyriglena leucoptera",4
"480","Pyrocephalus rubinus",4
"481","Pyroderus scutatus",0
"482","Pyrrhula pyrrhula",6
"483","Quelea quelea",19
"484","Ramphocelus carbo",1
"485","Riparia riparia",31
"486","Sakesphorus cristatus",0
"487","Saltator atricollis",0
"488","Saxicola rubetra",4
"489","Saxicola torquatus",0
"490","Schistes geoffroyi",0
"491","Seiurus aurocapilla",24
"492","Seiurus noveboracensis",6
"493","Sericornis magnirostra",0
"494","Sericornis perspicillatus",0
"495","Serinus atrogularis",0
"496","Serinus serinus",37
"497","Sialia currucoides",11
"498","Sialia mexicana",26
"499","Sitta carolinensis",17
"500","Sitta europaea",1
"501","Sitta krueperi",0
"502","Spermophaga haematina",0
"503","Spheniscus demersus",138
"504","Spheniscus humboldti",78
"505","Spheniscus magellanicus",136
"506","Spizella arborea",20
"507","Spizella passerina",15
"508","Stachyris nigriceps",1
"509","Stachyris pyrrhops",1
"510","Stephanophorus diadematus",0
"511","Stigmatopelia senegalensis",0
"512","Stiphrornis erythrothorax",0
"513","Stizorhina fraseri",0
"514","Streptopelia orientalis",6
"515","Streptopelia turtur",14
"516","Streptoprocne rutila",0
"517","Strix aluco",92
"518","Strix occidentalis",55
"519","Strix uralensis",23
"520","Strix varia",56
"521","Strophocincla cachinnans",0
"522","Strophocincla fairbanki",0
"523","Sturnella loyca",0
"524","Sturnella superciliaris",0
"525","Sturnus cineraceus",0
"526","Sturnus unicolor",36
"527","Sturnus vulgaris",78
"528","Suiriri suiriri",1
"529","Sylvia atricapilla",95
"530","Sylvia borin",58
"531","Sylvia communis",7
"532","Sylvia conspicillata",3
"533","Sylvia curruca",7
"534","Sylvia deserticola",0
"535","Sylvia melanocephala",6
"536","Sylvia nisoria",2
"537","Sylvia undata",1
"538","Synallaxis azarae",0
"539","Tachycineta bicolor",260
"540","Tachycineta meyeni",0
"541","Tachycineta thalassina",1
"542","Tachyphonus cristatus",0
"543","Tachyphonus rufus",1
"544","Tangara argyrofenges",0
"545","Tangara cayana",0
"546","Tangara chilensis",0
"547","Tangara cyanicollis",1
"548","Tangara gyrola",0
"549","Tangara labradorides",0
"550","Tangara nigrocincta",0
"551","Tangara nigroviridis",0
"552","Tangara parzudakii",0
"553","Tangara preciosa",0
"554","Tangara ruficervix",0
"555","Tangara schrankii",0
"556","Tangara vassorii",0
"557","Tangara viridicollis",0
"558","Tangara xanthocephala",0
"559","Tarsiger cyanurus",0
"560","Tauraco persa",1
"561","Terpsiphone rufiventer",1
"562","Terpsiphone viridis",1
"563","Thamnomanes caesius",0
"564","Thamnophilus ambiguus",1
"565","Thamnophilus murinus",0
"566","Thamnophilus nigrocinereus",0
"567","Thamnophilus schistaceus",0
"568","Thlypopsis ornata",0
"569","Thraupis bonariensis",1
"570","Thraupis cyanocephala",0
"571","Thraupis episcopus",2
"572","Thryomanes bewickii",1
"573","Thryothorus euophrys",2
"574","Thryothorus leucotis",3
"575","Tityra semifasciata",0
"576","Tolmomyias flaviventris",0
"577","Tolmomyias sulphurescens",2
"578","Toxorhamphus iliolophus",0
"579","Toxorhamphus poliopterus",0
"580","Toxostoma rufum",13
"581","Tregellasia capito",0
"582","Trichothraupis melanops",1
"583","Troglodytes aedon",64
"584","Troglodytes troglodytes",13
"585","Trogon personatus",0
"586","Turdus albicollis",5
"587","Turdus amaurochalinus",4
"588","Turdus chiguanco",1
"589","Turdus falcklandii",4
"590","Turdus flavipes",4
"591","Turdus fulviventris",0
"592","Turdus fumigatus",0
"593","Turdus fuscater",3
"594","Turdus hauxwelli",0
"595","Turdus iliacus",5
"596","Turdus leucomelas",3
"597","Turdus leucops",0
"598","Turdus lherminieri",1
"599","Turdus libonyanus",1
"600","Turdus merula",55
"601","Turdus migratorius",117
"602","Turdus nigriceps",0
"603","Turdus pallidus",4
"604","Turdus pelios",3
"605","Turdus philomelos",61
"606","Turdus pilaris",8
"607","Turdus rufiventris",11
"608","Turdus serranus",0
"609","Turdus viscivorus",2
"610","Tylas eduardi",0
"611","Tyto alba",259
"612","Uraeginthus bengalus",0
"613","Vireo altiloquus",1
"614","Vireo gilvus",8
"615","Vireo griseus",5
"616","Vireo olivaceus",11
"617","Vireo plumbeus",2
"618","Volatinia jacarina",10
"619","Willisornis poecilinotus",1
"620","Wilsonia pusilla",8
"621","Xiphorhynchus ocellatus",0
"622","Xolmis pyrope",1
"623","Zenaida auriculata",23
"624","Zenaida galapagoensis",4
"625","Zenaida macroura",53
"626","Zonotrichia capensis",55
"627","Zonotrichia leucophrys",210
