"","Lineage_Name","Alt_Lineage_Name","parasiteGenus"
"231","CATUST12","SWTH18L","Leucocytozoon"
"232","CATUST28","","Leucocytozoon"
"233","CATUST25","","Leucocytozoon"
"234","NILSUN01","P48","Plasmodium"
"238","CATUST22","SWTH_CA_ELW_6H","Haemoproteus"
"243","TUMIG03","P48","Plasmodium"
"247","CERCIN02","","Plasmodium"
"248","CERSER02","","Plasmodium"
"250","PARUS22","H065","Leucocytozoon"
"255","AFR028","","Plasmodium"
"256","CHLSPI01","","Plasmodium"
"257","CHLSPI02","","Haemoproteus"
"258","AFR025","","Haemoproteus"
"260","TRMUS01","","Haemoproteus"
"261","CHLOPH01","","Haemoproteus"
"262","CHOGRA01","","Haemoproteus"
"263","DELURB5","","Plasmodium"
"266","WW6","","Leucocytozoon"
"269","PARUS21","","Leucocytozoon"
"271","LINOLI01","P16","Plasmodium"
"273","HAWF2","","Haemoproteus"
"274","HAWF7","H153","Leucocytozoon"
"275","COCCOC01","","Leucocytozoon"
"276","HAWF6","H152","Haemoproteus"
"277","HAWF1","","Haemoproteus"
"279","COFLA06","Par_bird_sp_10","Haemoproteus"
"282","FRAG05","","Haemoproteus"
"283","BAFLA04","","Plasmodium"
"284","LOXPOR01","","Haemoproteus"
"285","FRAG01","","Haemoproteus"
"286","ICTCAY01","Pla_bird_sp_4,Pla_bird_sp_5","Plasmodium"
"288","COLMEG02","AP18","Haemoproteus"
"291","CONCAS01","","Plasmodium"
"292","CONLIN16","COLIN16","Plasmodium"
"293","CONLIN01","COLIN01","Plasmodium"
"294","LEAMA01","LEAMA01","Plasmodium"
"295","CONLIN05","COLIN05","Plasmodium"
"296","COMEL01","COMEL01","Plasmodium"
"298","COPMAL01","39","Haemoproteus"
"299","COBRA01","NOCRH02","Haemoproteus"
"300","CORCAU01","NOCRH01","Haemoproteus"
"301","CORCAU03","NOCRL04","Leucocytozoon"
"303","COBRA02","NOCRL02","Leucocytozoon"
"304","COBRA05","NOCRL01","Leucocytozoon"
"305","COCOR13","CORNIX05","Leucocytozoon"
"306","CXPIP27","CORNIX01","Haemoproteus"
"309","COCOR09","Corvus corone 6,Corvus corone 8,Corvus macrorhynchos 3,Corvus macrorhynchos 6","Leucocytozoon"
"310","COCOR15","","Haemoproteus"
"311","CXPIP09","Rinchi-3","Plasmodium"
"312","CORMAC04","","Haemoproteus"
"313","CORMAC02","","Leucocytozoon"
"315","CXPIP19","U8","Haemoproteus"
"316","CORMON01","","Leucocytozoon"
"320","CORPIL03","","Haemoproteus"
"322","COPIL01","COPIL01","Plasmodium"
"324","CORPIL11","","Haemoproteus"
"325","PADOM17","FURLEU01","Plasmodium"
"326","BAHYP01","BAHYP01","Plasmodium"
"327","CORPIL01","","Plasmodium"
"329","CORPIL02","","Plasmodium"
"331","CRALOU01","","Haemoproteus"
"332","ANAPAR01","DYSMEN02","Haemoproteus"
"336","AFR223","","Leucocytozoon"
"337","CURCUR01","","Plasmodium"
"339","CYASTE05","","Haemoproteus"
"340","CYASTE07","","Leucocytozoon"
"342","VIOLI06","","Haemoproteus"
"343","VIOLI12","","Haemoproteus"
"347","CYPHIR03","","Haemoproteus"
"348","PSEGRI01","","Plasmodium"
"349","TANCHI01","","Haemoproteus"
"350","BUL07","","Plasmodium"
"351","DELURB3","Durb3","Haemoproteus"
"352","HIRUS07","","Leucocytozoon"
"354","COLL6","","Plasmodium"
"358","DELURB1","Durb1","Haemoproteus"
"360","PARUS19","","Leucocytozoon"
"362","DELURB6","","Plasmodium"
"363","DELURB2","Durb2","Haemoproteus"
"364","GLYSPI06","","Plasmodium"
"366","DENPEN02","OZ07SL23","Haemoproteus"
"367","PASILI01","","Haemoproteus"
"369","SETAUD25","","Leucocytozoon"
"370","EMPALN01","","Leucocytozoon"
"373","SETCOR07","","Leucocytozoon"
"374","CAMRUB03","","Haemoproteus"
"375","CATUST14","","Leucocytozoon"
