"","X","tip","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id","genus"
"52",1331,"Passerella iliaca","Passerella iliaca","CB1","FOSP_CA_ELW_10L","Leucocytozoon","Passerella iliaca","Passerella_iliaca","yes","Passerella iliaca","CB1 Passerella iliaca","Passerella"
"53",1332,"Passerella iliaca","Passerella iliaca","BAEBIC02","SOSP_CA3P","Plasmodium","Passerella iliaca","Passerella_iliaca","yes","Passerella iliaca","BAEBIC02 Passerella iliaca","Passerella"
"54",1333,"Passerella iliaca","Passerella iliaca","ZOLEU02","L.AK18","Leucocytozoon","Passerella iliaca","Passerella_iliaca","yes","Passerella iliaca","ZOLEU02 Passerella iliaca","Passerella"
"55",1334,"Passerella iliaca","Passerella iliaca","BT7","P43","Plasmodium","Passerella iliaca","Passerella_iliaca","yes","Passerella iliaca","BT7 Passerella iliaca","Passerella"
"56",1335,"Passerella iliaca","Passerella iliaca","SPIARB01","H.AK06","Haemoproteus","Passerella iliaca","Passerella_iliaca","yes","Passerella iliaca","SPIARB01 Passerella iliaca","Passerella"
"57",1433,"Pipilo maculatus","Pipilo maculatus","PIPMAC01","","Haemoproteus","Pipilo maculatus","Pipilo_maculatus","yes","Pipilo maculatus","PIPMAC01 Pipilo maculatus","Pipilo"
"58",1434,"Pipilo maculatus","Pipilo maculatus","BAEBIC02","SOSP_CA3P","Plasmodium","Pipilo maculatus","Pipilo_maculatus","yes","Pipilo maculatus","BAEBIC02 Pipilo maculatus","Pipilo"
"59",1435,"Pipilo maculatus","Pipilo maculatus","SEIAUR01","SPTO_CA_ELW_6P","Plasmodium","Pipilo maculatus","Pipilo_maculatus","yes","Pipilo maculatus","SEIAUR01 Pipilo maculatus","Pipilo"
"60",1436,"Pipilo maculatus","Pipilo maculatus","PIPMAC03","","Haemoproteus","Pipilo maculatus","Pipilo_maculatus","yes","Pipilo maculatus","PIPMAC03 Pipilo maculatus","Pipilo"
"61",1611,"Spizella arborea","Spizella arborea","SPIARB01","H.AK06","Haemoproteus","Spizella arborea","Spizella_arborea","yes","Spizella arborea","SPIARB01 Spizella arborea","Spizella"
"62",1612,"Spizella arborea","Spizella arborea","ZOLEU02","L.AK18","Leucocytozoon","Spizella arborea","Spizella_arborea","yes","Spizella arborea","ZOLEU02 Spizella arborea","Spizella"
"63",1613,"Spizella arborea","Spizella arborea","CB1","","Leucocytozoon","Spizella arborea","Spizella_arborea","yes","Spizella arborea","CB1 Spizella arborea","Spizella"
"64",1614,"Spizella pallida","Spizella pallida","DUMCAR01","","Leucocytozoon","Spizella pallida",NA,NA,"Spizella pallida","DUMCAR01 Spizella pallida","Spizella"
"65",1615,"Spizella passerina","Spizella passerina","SIAMEX01","","Haemoproteus","Spizella passerina","Spizella_passerina","yes","Spizella passerina","SIAMEX01 Spizella passerina","Spizella"
"66",1616,"Spizella passerina","Spizella passerina","CNEORN01","","Leucocytozoon","Spizella passerina","Spizella_passerina","yes","Spizella passerina","CNEORN01 Spizella passerina","Spizella"
"67",1617,"Spizella passerina","Spizella passerina","SPIPAS09","","Leucocytozoon","Spizella passerina","Spizella_passerina","yes","Spizella passerina","SPIPAS09 Spizella passerina","Spizella"
"68",1618,"Spizella passerina","Spizella passerina","SPIPAS01","","Haemoproteus","Spizella passerina","Spizella_passerina","yes","Spizella passerina","SPIPAS01 Spizella passerina","Spizella"
"69",1619,"Spizella passerina","Spizella passerina","SEIAUR01","","Plasmodium","Spizella passerina","Spizella_passerina","yes","Spizella passerina","SEIAUR01 Spizella passerina","Spizella"
"70",1620,"Spizella passerina","Spizella passerina","WW3","","Plasmodium","Spizella passerina","Spizella_passerina","yes","Spizella passerina","WW3 Spizella passerina","Spizella"
"71",1621,"Spizella passerina","Spizella passerina","SPIPAS02","","Haemoproteus","Spizella passerina","Spizella_passerina","yes","Spizella passerina","SPIPAS02 Spizella passerina","Spizella"
"72",2040,"Zonotrichia albicollis","Zonotrichia albicollis","CB1","","Leucocytozoon","Zonotrichia albicollis","Zonotrichia_albicollis","yes","Zonotrichia albicollis","CB1 Zonotrichia albicollis","Zonotrichia"
"73",2041,"Zonotrichia capensis","Zonotrichia capensis","ZONCAP12","","Leucocytozoon","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","ZONCAP12 Zonotrichia capensis","Zonotrichia"
"74",2042,"Zonotrichia capensis","Zonotrichia capensis","BAEBIC02","BAEBIC02","Plasmodium","Zonotrichia capensis","Zonotrichia_capensis","yes","Zonotrichia capensis","BAEBIC02 Zonotrichia capensis","Zonotrichia"
