"","Lineage_Name","Alt_Lineage_Name","parasiteGenus"
"577","MYISWA01","","Haemoproteus"
"578","ELAALB02","","Leucocytozoon"
"591","LEPCOR03","","Haemoproteus"
"594","EMCIR01","","Haemoproteus"
"595","CCF2","H032","Haemoproteus"
"599","DUNNO01","","Haemoproteus"
"600","EMCIT01","","Leucocytozoon"
"607","EMSPO01","EMGO03","Haemoproteus"
"608","RB1","","Haemoproteus"
"609","PARUS1","","Haemoproteus"
"613","EMSPO02","","Haemoproteus"
"614","EMBHER01","P12","Plasmodium"
"616","EOPAUS02","AP42","Haemoproteus"
"622","SFC8","H027","Leucocytozoon"
"634","SPMAG12","","Haemoproteus"
"635","EUXAN01","","Haemoproteus"
"636","PACPEC02","SA18","Haemoproteus"
"637","PADOM01","","Plasmodium"
"639","REB2","","Haemoproteus"
"643","LK02","","Haemoproteus"
"644","BNOW03","FALC7","Haemoproteus"
"645","LK03","H-FATI1","Haemoproteus"
"647","COLL3","","Haemoproteus"
"651","COLL11","","Plasmodium"
"653","PFC1","","Haemoproteus"
"654","TERUF02","","Plasmodium"
"657","COLL10","","Plasmodium"
"659","RFF1","","Plasmodium"
"662","COLL7","","Plasmodium"
"663","WW4","","Plasmodium"
"664","LAMPUR03","","Plasmodium"
"666","GRW07","","Plasmodium"
"668","AEMO01","","Plasmodium"
"669","ACCTAC01","","Plasmodium"
"675","LBPIP1","","Plasmodium"
"681","PSB1","","Plasmodium"
"687","FICNAR01","","Haemoproteus"
"690","FIPAR02","H-LIN32","Haemoproteus"
"691","FORANA03","FORANA02","Plasmodium"
"692","FORCOL07","","Plasmodium"
"693","FOCOL01","FOCOL01","Plasmodium"
"694","FORCOL02","","Plasmodium"
"695","FORCOL06","","Plasmodium"
"696","FOSER01","FOSER01","Plasmodium"
"697","FOMEL01","FOMEL01","Plasmodium"
"699","FOUMAD01","H_7A,H_7B,H_7C,H_7D,H_7E","Haemoproteus"
"702","RBQ11","H_9","Haemoproteus"
"703","FOUMAD02","H_15A,H_15B","Haemoproteus"
"704","RECOB3","","Leucocytozoon"
"705","FOUMAD03","P_4","Plasmodium"
"709","NEWAM05","BERMAD02_MDG_P08","Plasmodium"
"714","FOUOMI01","MDG_H20","Haemoproteus"
"715","FOUOMI04","MDG_P12","Plasmodium"
"718","FOUOMI02","MDG_L04","Leucocytozoon"
"720","NEWAM03","MDG_L07","Leucocytozoon"
"722","HYPMA02","HYPMA05_MDG_L02","Leucocytozoon"
"723","FREAND01","Katta","Haemoproteus"
"724","FREMIN01","CY19,E75,FMAG15,HC02,HIPP5,FMINGAL1,IG20","Haemoproteus"
"726","CCF4","","Haemoproteus"
"727","BRAM3","H163,H176","Leucocytozoon"
"730","CCF23","H255","Haemoproteus"
"731","CCF09","H164","Haemoproteus"
"732","CCF6","","Haemoproteus"
"736","CCF5","","Haemoproteus"
"737","CCF1","","Haemoproteus"
"740","BRAM2","","Leucocytozoon"
"742","FULEU01","FULEU01","Haemoproteus"
"744","DENCER02","","Haemoproteus"
"745","GALCYA02","","Plasmodium"
"746","SPMAG04","","Plasmodium"
"748","GALHAR01","","Haemoproteus"
"749","GALLUS01","","Plasmodium"
"750","GALLUS07","","Leucocytozoon"
"751","GALLUS17","GALLUSM08","Leucocytozoon"
"752","GALLUS06","","Leucocytozoon"
"753","GALLUS14","GALLUSM04","Leucocytozoon"
"754","GALLUS22","GALLUSM14","Plasmodium"
"755","TSUB01","","Plasmodium"
