"","tip","lineages","alt_lineages","Species3","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status","WJSpecID","Scientific","TipLabel","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","X2010.IUCN.Red.List.category","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc","urban","humanDisturbed"
"21","Ammodramus humeralis","DENPET03","","Ammodramus humeralis","Emberizidae","Passeriformes",12,4,6,2,4,12.6,8.1,4.5,6.3,18.7,56.4,2.4,53.9,4.3,45.6,15.99,"Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Terrestrial","-41.17","12.46","-16.41","-54.836068259999998","9115378.4299999997","Extant",12555,"Ammodramus humeralis","Ammodramus_humeralis","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Grassland Sparrow","bow12555","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"22","Amphispiza bilineata","AMPBIL02, TROAED24","BTSP03, BTSP08","Amphispiza bilineata","Emberizidae","Passeriformes",6,2,4,0,6,11.7,8.2,4.6,5.9,18.1,63.5,11.3,52.2,17.7,64.8,13.5,"Dunning","NA","NO","NA","NA","Shrubland","2","2","Omnivore","Omnivore","Generalist","20.190000000000001","47.06","32.43","-108.9601103","2450691.64","Extant",12570,"Amphispiza bilineata","Amphispiza_bilineata","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Black-throated Sparrow","bow12570","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"23","Anairetes parulus","TROAED20","","Anairetes parulus","Tyrannidae","Passeriformes",16,7,8,1,5,11.7,5.8,2.4,2.1,18.5,49.1,7,42.1,14.3,51,6.2,"Dunning","NA","NO","NA","NA","Shrubland","2","1","Carnivore","Invertivore","Insessorial","-55.98","2.52","-35.590000000000003","-69.202158100000005","2638454.7799999998","Extant",5917,"Anairetes parulus","Anairetes_parulus","TitTyranRest","Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies","Tufted Tit-tyrant","bow05917","LC","BL3","Tyrannidae","Tyrant-flycatchers",105,"PASSERIFORMES","PASSERIFORMES","Tyranni","0","0"
"24","Andropadus gracilis","GRW09","P46","Andropadus gracilis","Pycnonotidae","Passeriformes",11,2,3,6,7,13.9,8.3,3.8,3.8,17.6,72,8.5,62.7,12,68,21.63,"Dunning","NA","NO","NA","NA","Forest","1","1","Herbivore","Omnivore","Insessorial","-8.27","10.34","0.65","15.71717608","3552117.56","Extant",10232,"Andropadus gracilis","Andropadus_gracilis","S9","Bulbuls, Allies","Bulbuls, Allies","Grey Greenbul","bow10232","LC","BL3","Pycnonotidae","Bulbuls",160,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"25","Andropadus latirostris","ANLAT07, GRW09, ANLAT05, ANLAT09, ANLAT01, PHICT01, ANLAT04, ANLAT06, ANLAT02","PV9, PV12, PV2, PV4L, pANLA1, WA16, WA17, PV6, hANLA1","Andropadus latirostris","Pycnonotidae","Passeriformes",527,93,34,400,17,15.3,8.9,4.9,4.5,19.7,79.3,10.6,66.3,13.8,74.1,26.2,"Dunning","NA","NO","NA","NA","Forest","1","1","Omnivore","Frugivore","Insessorial","-11.51","12.81","1.34","16.472709200000001","3682285.72","Extant",10240,"Andropadus latirostris","Andropadus_latirostris","S9","Bulbuls, Allies","Bulbuls, Allies","Yellow-whiskered Greenbul","bow10240","LC","BL3","Pycnonotidae","Bulbuls",160,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"26","Andropadus milanjensis","GRW09","PV12L","Andropadus milanjensis","Pycnonotidae","Passeriformes",31,9,8,14,25,19.9,10.5,4.3,5,22.9,93.7,15,78.8,16,90.3,37.38,"Dunning","NA","NO","NA","NA","Forest","2","1","Omnivore","Omnivore","Insessorial","-20.82","-2.11","-11.13","35.517296049999999","234340.37","Extant",10246,"Andropadus milanjensis","Andropadus_milanjensis","S9","Bulbuls, Allies","Bulbuls, Allies","Stripe-cheeked Greenbul","bow10246","LC","BL3","Pycnonotidae","Bulbuls",160,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"27","Andropadus virens","WW3, GRW09","WW7, P46","Andropadus virens","Pycnonotidae","Passeriformes",153,18,9,126,64,13.9,8,4.7,4.3,20.6,74.4,9.8,65.9,12.8,70.8,26.56,"Dunning","NA","NO","NA","NA","Forest","1","1","Herbivore","Frugivore","Insessorial","-16.53","13.54","-0.74","16.733440829999999","5766996.3300000001","Extant",10230,"Andropadus virens","Andropadus_virens","S9","Bulbuls, Allies","Bulbuls, Allies","Little Greenbul","bow10230","LC","BL3","Pycnonotidae","Bulbuls",160,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"28","Anisognathus somptuosus","ANIFLA01","","Anisognathus somptuosus","Thraupidae","Passeriformes",16,5,8,3,4,20,10.8,5.9,7.8,24.5,91.9,19.1,71.9,21,72.9,44.5,"Updated_literature","BoW","NO","NA","NA","Forest","1","1","Omnivore","Invertivore","Insessorial","-20.94","10.82","-3.55","-74.555946879999993","362683.21","Extant",12959,"Anisognathus somptuosus","Anisognathus_somptuosus","P17P18","Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Blue-winged Mountain-tanager","bow12959","LC","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"29","Anthornis melanura","GRW06, BELL01, SYAT05","LIN2, LIN1, LIN3","Anthornis melanura","Meliphagidae","Passeriformes",11,3,6,2,4,20.1,9,3,3.9,25.9,86.4,17.2,72.6,19.1,80.3,26.91,"Dunning","NA","NO","NA","NA","Forest","1","1","Herbivore","Nectarivore","Insessorial","-50.93","-34.130000000000003","-41.93","172.67153339999999","212871.76","Extant",7483,"Anthornis melanura","Anthornis_melanura","BC7","Honeyeaters","Honeyeaters, Thornbills, Bristlebirds, Australasian Wrens, Allies","New Zealand Bellbird","bow07483","LC","BL3","Meliphagidae","Honeyeaters",117,"PASSERIFORMES","PASSERIFORMES","Passeri","1","1"
"30","Anthreptes collaris","PLOPRI01, PYSUN1, HEDCOL01, GRW09, RECOB4","P34,P35, PV15,PV15a, PV39,PV39a, P46, PV25","Anthreptes collaris","Nectariniidae","Passeriformes",34,15,19,0,17,15.3,10.4,3.2,3.1,15.4,51.1,7,44.1,13.8,35.4,6.98,"Dunning","NA","NO","NA","NA","Forest","2","1","Omnivore","Invertivore","Insessorial","-34.21","14.87","-4.74","23.587654069999999","9197435.6999999993","Extant",11612,"Anthreptes collaris","Anthreptes_collaris","P2","Sunbirds, Flowerpeckers","Sunbirds, Flowerpeckers","Collared Sunbird","bow11612","LC","BL3","Nectariniidae","Sunbirds",168,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"31","Anthreptes fraseri","RECOB4","","Anthreptes fraseri","Nectariniidae","Passeriformes",25,7,14,4,13,18.8,13,3.5,3.7,16.4,67,11.1,57.9,16.1,46.8,11.31,"Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-8.7899999999999991","9.85","1.42","14.468774420000001","3230744.54","Extant",11596,"Anthreptes fraseri","Anthreptes_fraseri","P2","Sunbirds, Flowerpeckers","Sunbirds, Flowerpeckers","Scarlet-tufted Sunbird","bow11596","LC","BL3","Nectariniidae","Sunbirds",168,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"32","Anthus berthelotii","REB11, LK05, LK06","PAL282, TF413","Anthus berthelotii","Motacillidae","Passeriformes",5,2,3,0,4,14.3,8.2,2.8,3.1,21.5,72.2,16.6,55.6,23,60.2,15.86,"Dunning","NA","NO","NA","NA","Rock","2","1","Carnivore","Invertivore","Terrestrial","27.64","33.119999999999997","28.79","-15.800603949999999","8283.44","Extant",11865,"Anthus berthelotii","Anthus_berthelotii","P9","Wagtails, Pipits","Wagtails, Pipits","Berthelot's Pipit","bow11865","LC","BL3","Motacillidae","Wagtails and pipits",170,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"33","Anthus trivialis","TRPIP1, BT2, TURDUS1, YWT2, PBPIP1","ANTRI01","Anthus trivialis","Motacillidae","Passeriformes",26,9,17,0,4,15.7,8,3.3,3.8,20.6,86.1,25.2,60.7,29.3,59.9,23.33,"Dunning","NA","NO","NA","NA","Woodland","2","3","Omnivore","Invertivore","Terrestrial","27.64","70.540000000000006","56.07","58.287842359999999","15353264.33","Extant",11876,"Anthus trivialis","Anthus_trivialis","P9","Wagtails, Pipits","Wagtails, Pipits","Tree Pipit","bow11876","LC","BL3","Motacillidae","Wagtails and pipits",170,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"34","Aphelocoma californica","LAIRI01, APHCAL01","","Aphelocoma californica","Corvidae","Passeriformes",25,7,18,0,12,32.1,19.7,8.8,9.3,40.6,124.5,17.9,106.2,14.4,135,85.74,"Dunning","NA","NO","NA","NA","Shrubland","2","1","Omnivore","Omnivore","Terrestrial","16.16","46.82","34.81","-110.6940232","2322710.64","Extant",7983,"Aphelocoma californica","Aphelocoma_californica","CC8","Shrikes, Monarchs, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Western Scrub-jay","bow07983","LC","BL3","Corvidae","Crows and jays",147,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"35","Aphrastura spinicauda","ZOLPYR01, DIUDIU11, APSPI15, ELAALB05, CATUST05, APSPI10","AspChL2, AspChL1, AspChH1, AspChL4, H24, AspChL9","Aphrastura spinicauda","Furnariidae","Passeriformes",9,3,6,0,4,13.7,7.8,2.6,3,20.2,59.4,12.2,47.2,20.5,76.8,11.5,"Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","-56.53","-30.3","-45.16","-72.247389609999999","491332.8","Extant",6667,"Aphrastura spinicauda","Aphrastura_spinicauda","Furnaridae","Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes","Thorn-tailed Rayadito","bow06667","LC","BL3","Furnariidae","Ovenbirds",110,"PASSERIFORMES","PASSERIFORMES","Tyranni","0","1"
"36","Arremon brunneinucha","ZOCAP14, ARBRU02","","Arremon brunneinucha","Emberizidae","Passeriformes",50,6,22,22,5,19.5,11.8,6.1,7.4,28.8,80.8,7.5,74.9,9.1,84.7,43.97,"Dunning","NA","NO","NA","NA","Forest","1","1","Omnivore","Invertivore","Generalist","-14.47","21.63","4.92","-80.546564239999995","618730.16","Extant",12646,"Arremon brunneinucha","Arremon_brunneinucha","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Chestnut-capped Brush-finch","bow12646","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"37","Arremon flavirostris","ARRFLA01, COLL4","H07, H27","Arremon flavirostris","Emberizidae","Passeriformes",10,4,6,0,4,15.2,9.9,5.3,7.5,24.8,71.6,6.2,65.2,8.6,66,26.13,"Dunning","NA","NO","NA","NA","Forest","1","1","Herbivore","Omnivore","Insessorial","-28.68","-12.91","-20.350000000000001","-53.736118240000003","2149781.35","Extant",12617,"Arremon flavirostris","Arremon_flavirostris","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Saffron-billed Sparrow","bow12617","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"38","Arremon taciturnus","DENPET03, ARRTAC01","","Arremon taciturnus","Emberizidae","Passeriformes",29,12,15,2,12,14.7,10,5.5,7.2,23.8,72.1,7.9,64.5,10.9,61.5,24.8,"Dunning","NA","NO","NA","NA","Forest","1","1","Herbivore","Omnivore","Insessorial","-20.18","9.84","-5.82","-55.667905740000002","6904094.96","Extant",12615,"Arremon taciturnus","Arremon_taciturnus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Pectoral Sparrow","bow12615","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
